apparition	ghost	phantom
diddy	puff_daddy	puffy
augustus	caesar_augustus	gaius_octavius
earth	globe	planet_earth
frontman	lead_vocalist	lead_vocals
gallons	gallon	us_gal
host	presenter	tv_host
mental_illness	psychiatric_disorders	psychiatric_illness
distilled_beverage	liquor	spirits
cephas	peter	petrus
cheikh	shaikh	shaykh
dairy_cattle	dairy_cow
pullover	sweater
television_programme	television_program
compound_microscope	optical_microscope
dance_music	electronic_dance_music
76ers	sixers
new_york_police_department	nypd
green_vegetables	leafy_greens
piracy	pirate
ohio_state_university	osu
analgesics	analgesic
hunter_valley	hunter
f-15_eagle	mcdonnell_douglas_f-15_eagle
ami	myocardial_infarction
lm	lumens
computer_science	cs
county_laois	leix
uav	unmanned_aerial_vehicle
mystery_fiction	mystery
divide	drainage_divide
pozsony	pressburg
arsenal_f.c.	arsenal_football_club
tiff	toronto_film_festival
percival	sir_percival
brain_tumor	brain_tumour
thiamine	vitamin_b1
personal_computers	personal_computer
discovery_channel	the_discovery_channel
u.s._highways	u.s._routes
dog	domestic_dog
booking_agent	talent_agent
gaelic	scottish_gaelic
claudius_ptolemaeus	claudius_ptolemy
coder	computer_programmer
nachmanides	ramban
disc_jockey	dj
college_radio	student_radio
diabetes_mellitus_type_2	type_2_diabetes
mercury	quicksilver
chemical_manufacturing	chemicals
colon_cancer	colorectal_cancer
asphalt	bitumen
sir_winston_churchill	winston_churchill
virgilio	virgil
soda_pop	soft_drink
adventist_church	seventh-day_adventist_church
gatwick_airport	london_gatwick
medication	medicine
metropolitan_opera	the_met
openvms	vms
french_horn	horns
neurological_disease	neurological_disorder
da_vinci	leonardo_da_vinci
bangla	bengali
mercedes-benz_superdome	superdome
ak-47	kalashnikov
khmer_language	khmer
ferris_wheel	observation_wheel
jewish_new_year	rosh_hashanah
slovene	slovenian
independence_day	july_4th
victor_records	victor_talking_machine_company
benares	varanasi
noord-brabant	north_brabant
hendrix	jimmy_james
eastern_campaign	great_patriotic_war
kaiser_wilhelm_ii	wilhelm_ii
alopecia	hair_loss
song_dynasty	southern_song_dynasty
bipolar_depression	bipolar_disorder
aerial_reconnaissance	reconnaissance
nevada	nev
west_virginia	wv
laptop_computer	laptop
ekaterinburg	sverdlovsk
muscle_spasms	muscle_spasm
bronx	the_bronx
proprietary_software	proprietary
celsius	degrees_celsius
domestic_horse	horse
tin_woodman	tin_woodsman
shakespeare	william_shakespeare
mathematics	maths
stone_cold_steve_austin	stone_cold
austria-hungary	austro-hungarian_empire
earl_mountbatten	lord_mountbatten
johann_strauss_ii	strauss
queen_elizabeth	the_queen_mother
stereo_sound	stereo
firearm	gun
lao_language	laotian
object-oriented_programming_language	oop
evening_star	venus
rail_transport	railway
sleep_aids	sleeplessness
liverpool	the_reds
sq_miles	square_miles
chile_pepper	chile
italian_republic	italia
new_york_times	the_new_york_times
glycerin	glycerol
cattle	cow
slovak_language	slovakian
gothic_revival_architecture	victorian_gothic
fiberglass	fibreglass
mexican_cuisine	mexican_food
urinary_tract_infection	uti
government_corruption	political_corruption
cestoda	tapeworm
earth_sciences	geosciences
consul_general	consul
thomas_babington_macaulay	thomas_macaulay
agriculture	farming
conservatory	music_school
ancient_egyptian	egyptian
lemberg	lvov
mbyte	megabyte
councillor	councilmember
led	light-emitting_diode
union_pacific_railroad	union_pacific
nuclear_energy	nuclear_power
london_philharmonic_orchestra	lpo
dixieland_jazz	new_orleans_jazz
pil	public_image_limited
livia_drusilla	livia
easter_sunday	easter
hb	hemoglobin
russian_sfsr	russian_soviet_federative_socialist_republic
chaplin	charles_chaplin
blazers	portland_trail_blazers
carbonated_water	seltzer
washington_wizards	wizards
abc	american_broadcasting_company
fainting	swooning
spine	vertebral_column
grand_central_station	grand_central_terminal
crossover_suv	cuv
occitan_language	occitan
thomas_aquinas	thomas
northern_army	union_army
arthur_conan_doyle	sir_arthur_conan_doyle
2012_olympic_games	london_olympics
cat_stevens	yusuf
fort_crook	offutt_air_force_base
valve_corporation	valve
film_producer	producer
cloth	textile
acne	pimples
government_school	state_school
hardy	oliver_hardy
f-16_fighting_falcon	general_dynamics_f-16_fighting_falcon
moses_maimonides	rambam
thes	times_higher_education
los_angeles_lakers	minneapolis_lakers
samanid_empire	samanid
bass_guitarist	bass_player
dna_fingerprinting	dna_profiling
galician	gallego
general_officer	generals
gawain	sir_gawain
crf	crh
newark_airport	newark_liberty_international_airport
athlete	sportsman
michigan_state	msu
notorious_b.i.g.	the_notorious_b.i.g.
marriage	matrimony
americas	america
elijah	eliyahu
digestive_system	gi
the_daily_mail	the_mail
elbe_river	elbe
canadian_national_railway	cn_rail
belarusian	belorussian
elessar	strider
perspiration	sweating
zipcode	zip
september_11_attacks	september_11
princess_beatrix	queen_beatrix
german_language	german
ill	il
manx_language	manx
rangers_football_club	rangers
jurchens	jurchen
duomo	florence_cathedral
asteroid_belt	main_belt
gent	ghent
allied	allies
polish_language	polish
super_nes	super_nintendo_entertainment_system
pennsauken_township	pennsauken
4000_bc	4th_millennium_bc
ucl	university_college_london
music_producer	record_producer
cigars	cigar
arrangements	arrangement
patrick	saint_patrick
cow_milk	milk
aztec	nahuatl
princess_peach	princess_toadstool
boston_globe	the_boston_globe
poona	pune
pangaea	pangea
affairs	affair
humor	humour
grand_duke	grand_prince
grocery_stores	grocery_store
john_lydon	johnny_rotten
barbecue	barbeque
bcs	bowl_championship_series
iata	international_air_transport_association
comedian	comedienne
zoroastrianism	zoroastrian
henry_david_thoreau	thoreau
ctv_television_network	ctv
onions	onion
civil_partnership	civil_union
turner_broadcasting_system	turner_broadcasting
ernie_wise	wise
auf_der_maur	melissa_auf_der_maur
federal_trade_commission	ftc
maritime_climate	oceanic_climate
eglin_afb	eglin_air_force_base
antiviral_drug	antivirals
mst3k	mystery_science_theater_3000
flip-flop	latch
four_seasons	the_four_seasons
chat	online_chat
audio_engineer	sound_engineer
conversion_therapy	reparative_therapy
avicenna	ibn_sina
general_staff	staff
dorpat	tartu
sardegna	sardinia
spinal_cord_injury	spinal_injury
abc_world_news_tonight	world_news_tonight
mohawk_language	mohawk
jacob_neusner	neusner
richard_bachman	stephen_king
benjamin_thompson	count_rumford
rodentia	rodent
steiermark	styria
max_planck_institute	max_planck_society
beach_boys	the_beach_boys
exclamation	interjection
magnetic_resonance_imaging	mri
sbs_one	sbs_tv
carbonates	carbonate
lucasarts	lucasfilm_games
janet_jackson	janet
classical_pianist	pianist
mammals	mammal
channel_5	channel_five
ernest_renan	renan
country_codes	country_code
first_indochina_war	indochina_war
coronation_street	corrie
edwards_afb	edwards_air_force_base
beau_bridges	beau
bfi	british_film_institute
royal_shakespeare_company	rsc
cbs_this_morning	the_early_show
leader	the_leader
mandela	nelson_mandela
iihf	international_ice_hockey_federation
calories	calorie
summertime	summer
catwoman	selina_kyle
beetle	coleoptera
cochin	kochi
amnesty_international	amnesty
lady_mary_wortley_montagu	mary_wortley_montagu
sardinian_language	sardinian
godard	jean-luc_godard
aum	om
exhibition_game	friendly_match
fiat_currency	fiat_money
enemies	enemy
user_experience	ux
megaplex	multiplex
jive_records	jive
kaohsiung_city	kaohsiung
thasos	thassos
commissioned_officer	military_officer
basque_language	basque
magician	wizard
eccentricity	orbital_eccentricity
eff	electronic_frontier_foundation
startup_company	startup
techno_music	techno
taranto	tarentum
archdiocese	diocese
medium_earth_orbit	meo
breathing	breath
luddites	luddite
american_jews	jewish_american
social_interaction	social_relations
ramsar_convention	ramsar_site
odin	wotan
sabc	south_african_broadcasting_corporation
dowland	john_dowland
american_motors_corporation	american_motors
public_broadcasting	public_radio
yale_university	yale
torino	turin
lehi	stern_gang
ferdinand_magellan	magellan
hercule_poirot	poirot
grigori_rasputin	rasputin
mascagni	pietro_mascagni
vaccinia_virus	vaccinia
bilbo_baggins	bilbo
jacobites	jacobitism
irish_people	irish
cascade_mountains	cascade_range
afp	agence_france-presse
u.s._attorney	united_states_attorney
laurel	stan_laurel
the_well-tempered_clavier	well-tempered_clavier
lotus_development_corporation	lotus_software
lirr	long_island_rail_road
east_timor	timor-leste
multi-storey_car_park	parking_garage
troad	troas
charles_de_gaulle	de_gaulle
north_rhine-westphalia	nrw
shivering	shiver
emeric_pressburger	pressburger
casimir_iv_jagiellon	casimir
reality_television	reality_tv
babel	babylon
giacomo_puccini	puccini
garonne_river	garonne
anti-submarine_warfare	asw
spawning	spawn
new_york_post	the_new_york_post
astronomical_units	astronomical_unit
biased_sample	sampling_bias
sufism	sufi
imaginary_numbers	imaginary_number
strike	striking
blue_note_records	blue_note
quay	wharf
atlanta_constitution	the_atlanta_journal-constitution
bernini	gian_lorenzo_bernini
paine	thomas_paine
air_conditioner	air_conditioning
chinese_medicine	traditional_chinese_medicine
drugs	drug
connecticut	ct
coordination	gleichschaltung
rms_titanic	titanic
trees	tree
bdp	boogie_down_productions
vehicles	vehicle
brown_bear	ursus_arctos
tennessee_valley_authority	tva
chinese_ceramics	chinese_porcelain
mick_jagger	mick
seattle_international_film_festival	siff
albino_luciani	pope_john_paul_i
peninsular_malaysia	west_malaysia
degrees_fahrenheit	fahrenheit
grain_size	particle_size
thickener	thickening_agent
elementary_education	primary_education
punjabi_language	punjabi
aston_villa	villa
ptolemaic_egypt	ptolemaic_kingdom
tirol	tyrol
checkers	draughts
leninism	leninist
bulimia_nervosa	bulimia
county_roscommon	roscommon
casanova	giacomo_casanova
sneakers	sneaker
pda	personal_digital_assistant
bacchus	dionysus
repetitive_strain_injury	rsi
nanjing	nanking
modest_mussorgsky	mussorgsky
california	calif
hmmwv	humvee
derry	londonderry
the_vandals	vandals
legal_entity	legal_personality
neurofibromatosis	nf
rsa_security	rsa
breton_language	breton
centre_party	zentrum
rail_tracks	track
racemic_mixture	racemic
east_carolina_university	ecu
larry_fine	larry
national_football_league	nfl
cusco	cuzco
black_crowes	the_black_crowes
afrikaans_language	afrikaans
gallia_narbonensis	transalpine_gaul
psychokinesis	telekinesis
new_international_version	niv
american_national_standards_institute	ansi
memory_segmentation	segmentation
uci	union_cycliste_internationale
canadian_prairies	prairies
georg_solti	sir_georg_solti
oswald_mosley	sir_oswald_mosley
wrinkles	wrinkle
lagos_state	lagos
milky_way_galaxy	milky_way
maharishi	maharshi
hans_arp	jean_arp
rna_splicing	splicing
phoenicians	phoenicia
echo_awards	echo
pectins	pectin
japanese_language	japanese
indycar	irl
explosive_material	explosive
mobil_oil	mobil
cello	violoncello
jean-paul_sartre	sartre
squint	strabismus
eminem	marshall_mathers
gongs	gong
hittite_empire	hittites
playstation_3	ps3
ben_kenobi	obi-wan_kenobi
joker	the_joker
eidetic_memory	photographic_memory
pan_american_world_airways	pan_am
northern_lights	the_golden_compass
sampson	samson
babar	babur
adrian_boult	sir_adrian_boult
luxembourg_city	luxembourg
hydrochloric_acid	muriatic_acid
worcester_county	worcester
arteriovenous_malformation	avm
signage	sign
prince_vijaya	vijaya
aphelion	perihelion
la_traviata	violetta
uhf	ultra_high_frequency
orson_welles	welles
operating_system	os
folk_music	folk
ascorbate	vitamin_c
hugh_laurie	laurie
cpv	vietnamese_communist_party
daffy_duck	daffy
anorexia_nervosa	anorexia
british_india	british_raj
anna_mae_bullock	tina_turner
yawning	yawn
pakistan_army	pakistani_army
financial_industry_regulatory_authority	finra
braunschweig	brunswick
united_states_military_academy	west_point
confucianism	confucian
risperdal	risperidone
westinghouse_electric_corporation	westinghouse_electric
pretenders	the_pretenders
the_wombles	wombles
dow_jones_industrial_average	dow_jones
ge_building	rca_building
cantos	the_cantos
sfu	simon_fraser_university
celebrity	tv_personality
dubai_airport	dubai_international_airport
anglicanism	anglican
la_galaxy	los_angeles_galaxy
christian_revival	revivalism
new_jersey	nj
olea_europaea	olive
american_west	western_united_states
bob_weinstein	bob
browser	web_browser
county_tipperary	tipperary
myopia	nearsightedness
alphonse_daudet	daudet
borg_queen	borg
black_cat	felicia
acute_myeloid_leukemia	aml
pequeninos	piggies
plasma_physics	plasma
dwarves	the_dwarves
con_artist	con_man
medieval_period	middle_ages
grindcore	grind
mixed_martial_arts	mma
peregrin_took	pippin
rally_racing	rallying
edmond_rostand	rostand
cadbury_schweppes	cadbury
valleys	valley
eastern_wu	wu
pasteurisation	pasteurization
junkers_ju_87	stuka
personality_disorders	personality_disorder
denver_nuggets	nuggets
revenge	vengeance
akc	american_kennel_club
sir_thomas_more	thomas_more
princess_sailor_moon	sailor_moon
dmitri_shostakovich	shostakovich
c64	commodore_64
benedictine_order	benedictine
taiwanese_hokkien	taiwanese
los_angeles_times	the_los_angeles_times
fozzie_bear	fozzie
herald_sun	the_herald
monopolies	monopoly
mos_def	mos
brynhildr	brynhild
neo-nazism	neo-nazi
ayers_rock	uluru
hardware_stores	hardware_store
diabetic_ketoacidosis	dka
medallion	medal
cactaceae	cactus
linkin_park	xero
latin_vulgate	vulgate
cosmos	kosmos
albuquerque	alburquerque
high_cholesterol	hypercholesterolemia
rajiv_gandhi	rajiv
crater	impact_crater
arthur_compton	arthur_holly_compton
hurricane_irene	tropical_storm_irene
arachnida	arachnid
great_tribulation	tribulation
http	hypertext_transfer_protocol
sneeze	sneezing
flanders	flemish_region
kansas_city_athletics	oakland_athletics
font_family	typeface
la_scala	teatro_alla_scala
reba_mcentire	reba
sports	sport
dyspepsia	indigestion
executive_officer	xo
baltimore_city	baltimore
boeing	the_boeing_company
bill_gaines	william_gaines
49ers	san_francisco_49ers
initial_public_offering	ipo
adrianople	edirne
national_broadcasting_company	nbc
administrative_center	administrative_centre
emperor_hirohito	hirohito
khan_noonien_singh	khan
drafter	draughtsman
wallonia	walloon_region
cree_language	cree
boils	boil
david_cameron	prime_minister_david_cameron
port_jackson	sydney_harbour
real-time_strategy	rts
rudolph_giuliani	rudy_giuliani
flatulence	flatus
succinate	succinic_acid
coach	head_coach
lesbianism	lesbian
american_recordings	def_american
lake_malawi	lake_nyasa
osage_nation	osage
diplopoda	millipede
teslas	tesla
ghostface_killah	ghostface
plaza_hotel	the_plaza
box_jellyfish	cubozoa
uzbek_language	uzbek
bonnaroo_music_festival	bonnaroo
met_office	meteorological_office
dish_network	dish
chinese_cuisine	chinese_food
education	teaching
slits	the_slits
labor_day_weekend	labor_day
rastafarian	rastafari
alms	american_le_mans_series
dannii_minogue	dannii
network_adapter	network_card
intrauterine_device	iud
paul_reubens	reubens
dacia	roman_dacia
edgar_allan_poe	poe
greenpeace_international	greenpeace
sacagawea	sakakawea
walton	william_walton
americans	american
kanagawa_prefecture	kanagawa
giant_panda	panda
shaw_communications	shaw
internal_revenue_service	irs
fibonacci_number	fibonacci_sequence
ia	iowa
urinalysis	urine_test
transfer_rna	trna
ap	associated_press
cell_membrane	plasma_membrane
arid_climate	desert_climate
global_positioning_system	gps
uthman_ibn_affan	uthman
setswana	tswana
corea	korea
essays	the_essays
sephardi_jews	sephardic_jews
asian_british	british_asian
msn_messenger	windows_live_messenger
major_league_baseball	mlb
mississippi_state_penitentiary	parchman
smothers_brothers	the_smothers_brothers
attacker	striker
total_loss	totaled
stone_temple_pilots	stp
harz_mountains	harz
secure_shell	ssh
dreamworks_skg	dreamworks
arvn	south_vietnamese_army
phrygians	phrygia
sleeping	sleep
reims	rheims
jawaharlal_nehru	nehru
cryptography	cryptology
alexander_pushkin	pushkin
ukrainian_soviet_socialist_republic	ukrainian_ssr
ebert	roger_ebert
jacques_offenbach	offenbach
heat	miami_heat
amiga	commodore_amiga
edgar_award	edgars
whiskey	whisky
natural_resources	natural_resource
ottoman_architecture	ottoman
general_james_wolfe	james_wolfe
mekong_river	mekong
carl_maria_von_weber	weber
history	the_history_channel
dprk	north_korea
destiny	fate
rough_trade_records	rough_trade
galanthus	snowdrop
epic_fantasy	high_fantasy
daffodil	narcissus
bertolt_brecht	brecht
henry_wood	sir_henry_wood
kashubian_language	kashubian
umno	united_malays_national_organisation
stax_records	stax
aasho	aashto
bosch	robert_bosch_gmbh
euclidean_geometry	euclidean_plane
chemical_weapons	chemical_weapon
mechanical_work	work
cutler_bay	cutler_ridge
thrace	western_thrace
palestinian_authority	palestinian_national_authority
hanna-barbera_productions	hanna-barbera
high_priest	kohen_gadol
grand_funk_railroad	grand_funk
al_hirschfeld	hirschfeld
iconium	konya
archies	the_archies
claude_debussy	debussy
hetfield	james_hetfield
social_systems	social_system
devonshire	devon
phenylalanine	phe
medford_township	medford
f-4_phantom_ii	mcdonnell_douglas_f-4_phantom_ii
stooges	the_stooges
geestland	geest
experts	expert
augusta-richmond_county	augusta
fugees	the_fugees
lakota_people	lakota_sioux
dominic	saint_dominic
jainism	jain
all-terrain_vehicle	quad
menopausal	menopause
salvation_army	the_salvation_army
pergamon	pergamum
palaeography	paleography
vcd	video_cd
massachusetts_bay_transportation_authority	mbta
achaemenid_dynasty	achaemenid_empire
orinoco_river	orinoco
balochistan	baluchistan
standard_chartered_bank	standard_chartered
kingston_trio	the_kingston_trio
tropical_diseases	tropical_disease
disulfides	disulfide
fiqh	islamic_jurisprudence
laws	law
mililani_town	mililani
joe_mccarthy	joseph_mccarthy
radio_mast	radio_tower
riker	william_riker
film_production	filmmaking
phenylketonuria	pku
prime_number	prime
gleevec	imatinib
harvey_weinstein	harvey
commodore_international	commodore
brown_coal	lignite
dacca	dhaka
canal_lock	lock
leo_tolstoy	tolstoy
united_states_armed_forces	united_states_military
sahrawi_people	sahrawi
epcot_center	epcot
campground	campsite
absolute_majority	supermajority
military_organization	military_unit
fortune_magazine	fortune
robotics	robot
jerome	saint_jerome
greatest_hits_album	greatest_hits
gastric_cancer	stomach_cancer
orchestral	orchestra
big_blue	ibm
niu	northern_illinois_university
cardboard	corrugated_fiberboard
seine_river	seine
jewish_people	jew
fis	international_ski_federation
romanian_language	romanian
ho-chunk	winnebago
advanced_encryption_standard	rijndael
emc_corporation	emc
peter_mark_roget	roget
vestlandet	western_norway
management_consultant	management_consulting
western_cape_province	western_cape
whiteman_afb	whiteman_air_force_base
rolling_stone_magazine	rolling_stone
normandy_landings	operation_neptune
la_toya_jackson	la_toya
grainger	percy_grainger
chaney	lon_chaney
wyoming	wy
syrian_arab_republic	syria
beethoven	ludwig_van_beethoven
desktop_publishing	dtp
semiconductor_device_fabrication	semiconductor_fabrication
cleft_lip	cleft_palate
commission	committee
english_language	english
iaea	international_atomic_energy_agency
hannover	hanover
bing_crosby	bing
pakistan_peoples_party	ppp
orthodoxy	orthodox
titans	titan
lady_bird_lake	town_lake
social_democracy	social_democrat
the_velvet_underground	velvet_underground
golden_rule	the_golden_rule
naturopathic_medicine	naturopathy
blissymbolics	blissymbols
digital_television	dtv
baal_hatanya	shneur_zalman
land_claims	land_claim
santorini	thera
beijing_university	peking_university
bobby_womack	bobby
coumadin	warfarin
spike_tv	spike
teennick	the_n
bernardo_bertolucci	bernardo
dramatic_poetry	verse_drama
rca_records	rca
taxation	tax
santa_claus	santa
pentateuch	torah
codex	codices
rogers_centre	skydome
gay_marriage	same-sex_marriage
los_alamos_national_laboratory	los_alamos_scientific_laboratory
david_attenborough	sir_david_attenborough
catalan_language	catalan
siemens_ag	siemens
bi	business_intelligence
colonialism	colonial
mayor_michael_bloomberg	michael_bloomberg
outer_hebrides	western_isles
asphyxiation	asphyxia
stockholm_county	stockholm
thiruvananthapuram	trivandrum
arista_records	arista
ohio_high_school_athletic_association	ohsaa
ukrainian_parliament	verkhovna_rada
dj_muggs	muggs
artificial_selection	selective_breeding
king_midas	midas
croatia	hrvatska
karlheinz_stockhausen	stockhausen
hf	high_frequency
ogg_vorbis	vorbis
concert_tour	concert
genomic_imprinting	imprinting
ebro_river	ebro
contractures	contracture
arecaceae	palm_tree
third_world_war	world_war_iii
integrated_services_digital_network	isdn
black_people	black
alfred_sisley	sisley
alma-ata	almaty
constitutional_democracy	liberal_democracy
bhagavad_gita	gita
handoff	handover
communities	community
missouri	mo
aichi_prefecture	aichi
astronomical_object	celestial_object
bach	johann_sebastian_bach
alienation	social_alienation
american_music_awards	american_music_award
goethe	johann_wolfgang_von_goethe
call_center	call_centre
pints	pint
anu	australian_national_university
ribosomal_rna	rrna
gdp	gross_domestic_product
hypochondriasis	hypochondria
cars	the_cars
prague	praha
greek_macedonia	macedonia
feminism	feminist
kurdish_language	kurdish
chief_operating_officer	coo
spiritual_sequel	spiritual_successor
fontane	theodor_fontane
bayonets	bayonet
internet_archive	the_internet_archive
hollandia	jayapura
first_lady_michelle_obama	michelle_obama
sears_tower	willis_tower
masters_tournament	the_masters
intergovernmental_organization	intergovernmental
australian_cricket_board	cricket_australia
witchcraft	witch
robert_menzies	sir_robert_menzies
cordwainer_bird	harlan_ellison
chelsea_f.c.	chelsea
new_mexico	nm
sulfides	sulfide
electrical_engineering	electrical_engineer
nanometer	nanometre
blofeld	ernst_stavro_blofeld
lupus	systemic_lupus_erythematosus
quine	willard_van_orman_quine
diggers	excavator
basic_programming_language	basic
cn	copernicium
corneille	pierre_corneille
sc	south_carolina
gpu	graphics_processing_unit
david_fincher	fincher
shimla	simla
financial_statements	financial_statement
faiyum	fayyum
iron_maiden	maiden
cavaliers	cavalier
royal_philharmonic_orchestra	royal_philharmonic
qmjhl	quebec_major_junior_hockey_league
tornado	twister
time_magazine	time
fungi	fungus
fluoride	fluorine
il_principe	the_prince
judgement	judgment
marcus_antonius	mark_antony
himalayas	himalaya
su	syracuse_university
guru_granth_sahib	sri_guru_granth_sahib
arthur_honegger	honegger
ifc	international_finance_corporation
bernhardt	sarah_bernhardt
athlon	k7
anaemia	anemia
scrubland	shrubland
san_people	san
bart	bay_area_rapid_transit
moe_howard	moe
jon_pertwee	pertwee
fungal_infections	fungal_infection
mormonism	mormon
digital_millennium_copyright_act	dmca
dark_horse_comics	dark_horse
beckenbauer	franz_beckenbauer
dobrudja	dobruja
nikolai_rimsky-korsakov	rimsky-korsakov
curriculum_vitae	cv
ifrs	international_financial_reporting_standards
faz	frankfurter_allgemeine_zeitung
medevac	medical_evacuation
papiamento	papiamentu
dengue_fever	dengue
attleborough	attleboro
interpersonal_relationship	relationships
the_white_stripes	white_stripes
pdf	portable_document_format
pannonian_basin	pannonian_plain
computer_printer	printer
black_holes	black_hole
messiaen	olivier_messiaen
hinterlands	hinterland
f-104_starfighter	lockheed_f-104_starfighter
barcelona	fc_barcelona
gaga	lady_gaga
monosodium_glutamate	msg
lawrence_livermore_national_laboratory	llnl
sundance_film_festival	sundance
richard_rodgers	rodgers
robins_afb	robins_air_force_base
paolo_veronese	veronese
isak_dinesen	karen_blixen
amphibians	amphibian
intubation	tracheal_intubation
fe	iron
rensselaer_polytechnic_institute	rpi
remains	the_remains
relaxation_time	relaxation
lapd	los_angeles_police_department
postmodern_architecture	postmodern
san_francisco_international_airport	sfo
acrylic_paint	acrylic
trans_world_airlines	twa
mini_cooper	mini
human_society	society
lakota_language	lakota
roseanne_barr	roseanne
total_quality_management	tqm
abbott	bud_abbott
australian_outback	outback
faboideae	papilionoideae
klia	kuala_lumpur_international_airport
inter-process_communication	ipc
adenosine_triphosphate	atp
human_skin_color	skin_pigmentation
xerox_corporation	xerox
pdb	protein_data_bank
last_judgement	last_judgment
national_geographic_magazine	national_geographic
hdtv	high-definition_television
six_nations_championship	six_nations
fracking	hydraulic_fracturing
duke_university	duke
alexa_internet	alexa
international_telecommunication_union	itu
biopiracy	bioprospecting
paramahansa_yogananda	yogananda
wide_receiver	wr
herod_antipas	herod
glinka	mikhail_glinka
kinks	the_kinks
fulbright_scholarship	fulbright_scholar
barisan_nasional	bn
double_pneumonia	pneumonia
microsoft_outlook	outlook
los_angeles_philharmonic_orchestra	los_angeles_philharmonic
imap	internet_message_access_protocol
novonikolayevsk	novosibirsk
aquariums	aquarium
fused_quartz	fused_silica
carl_nielsen	nielsen
spin_magazine	spin
microwave_oven	microwave
berlioz	hector_berlioz
marx_brothers	the_marx_brothers
utopias	utopia
ebenezer_scrooge	scrooge
wipo	world_intellectual_property_organization
daily_express	sunday_express
jean_plaidy	victoria_holt
boston_herald	the_boston_herald
uncial_script	uncial
ceylon	sri_lanka
nebraska	ne
droitwich_spa	droitwich
plasmatics	the_plasmatics
sean_lennon	sean
monosaccharides	monosaccharide
english_setter	laverack
old_prussian	prussian
petrarchan_sonnet	petrarchan
imf	international_monetary_fund
king_james_bible	king_james_version
dutch_east_india_company	voc
epitaph_records	epitaph
dardanelles	hellespont
professor	university_professor
hallmark_cards	hallmark
kilimanjaro	mount_kilimanjaro
license_plates	number_plate
eid_al-adha	eid_ul-adha
tempest	the_tempest
cascading_style_sheets	css
da_ponte	lorenzo_da_ponte
bnl	brookhaven_national_laboratory
plebiscite	referendum
diseases	disease
stray_cats	the_stray_cats
salah	salat
citigroup	citi
dallas_area_rapid_transit	dart
maurice_ravel	ravel
scalable_vector_graphics	svg
bell_canada	bell
katanga_province	katanga
repertory_theatre	repertory
ccir	itu-r
henry_purcell	purcell
josquin_des_prez	josquin
tisa	tisza
adm	archer_daniels_midland
national_cancer_institute	nci
nederlandse_spoorwegen	ns
gemstone	gem
stadholder	stadtholder
long_hill_township	long_hill
fafner	fafnir
the_web	world_wide_web
jean_grey	marvel_girl
gun_crime	gun_violence
wright-patterson_afb	wright-patterson_air_force_base
osho	rajneesh
baroda	vadodara
south_central_los_angeles	south_los_angeles
ponds	pond
chechen_republic	chechnya
greenlandic	kalaallisut
serer_people	serer
wbc	world_boxing_council
ambient_music	ambient
electronic_instruments	electronic_musical_instrument
phoenix_suns	suns
antenna	radio_antenna
antonio_vivaldi	vivaldi
danube_river	danube
albert_einstein	einstein
electronic_engineering	electronics_engineering
art_brut	outsider_art
roskosmos	russian_federal_space_agency
